
第二百七十四节 新来的药丸党
第三十七节　下乡笔记抄续

第三十八节　下乡笔记抄三

第三十九节　总结

第四十节　食品厂

第四十一节　食品厂续

第四十二节　新军服

第四十三节　新军服续

第四十四节　集训队

第四十五节　家书

第四十六节　宣誓

第四十七节　出征

第四十八节　第4营

第四十九节　香港

第五十节 刺杀

第五十一节　交易

第五十二节　新币制

第五十三节　造币工艺

第五十四节　造币工艺续

第五十五节　江面救人

第五十六节　手术

第五十七节　不能收徒

第五十八节　广州城里的人们

第五十九节 入城

第六十节 虎门

第六十一节 内讧

第六十二节 进占虎门

第六十三节 进城

第六十四节 流寓广州的黄二爷

第六十五节 檄文

第六十六节 南头城

第六十七节 民意

第六十八节 市长进城

第六十九节 知府衙门

第七十节 降人们

第七十一节 吕易忠

第七十二节 广州巨室

第七十三节 波涛汹涌

第七十四节 密谋

第七十五节 董明珰

第七十六节 点卯

第七十七节 拿下

第七十八节 杀人立威

第七十九节 承宣大街

第八十节 违章建筑

第八十一节 大门槛

第八十二节 团头

第八十三节

第八十四节 莫家

第八十五节 雷霆万钧

第八十六节 叹早茶

第八十七节 阅兵

第八十八节 六脉渠

第八十九节 广州特别市警察局

第九十节 户口调查

第九十一节 入户普查

第九十二节 豆腐作坊

第九十三节 防疫

第九十四节 传染病

第九十五节 普济堂

第九十六节 清节院

第九十七节 弃婴塔

第九十八节 逃跑

第九十九节 措施

第一百节 财政难题

第一百零一节 孟贤

第一百零二节 外甥

第一百零四节 巡警招录

第一百零五节 潘杰鑫

第一百零六节 警训班

第一百零七节 训练

第一百零八节 依法办事

第一百零九节 货币发行

第一百一十节 发行手段

第一百一十一节 稳定粮价

第一百一十二节 粮商们

第一百一十三节 黑材料

第一百一十四节 传统

第一百一十五节 拜见

第一百一十六节 工商联

第一百一十七节 半支雪茄

第一百一十八节 几多欢喜几多愁

第一百一十九节 及第兄弟

第一百二十节 会馆大战

第一百二十一节 骚动

第一百二十二节

第一百二十三节 扫荡

第一百二十四节 善后和收税

第一百二十五节 请柬

第一百二十六节 巡警李子玉

第一百二十七节 巡逻

第一百二十八节 信息

第一百二十九节 无头尸

第一百三十节 刑事警察

第一百三十一节 排查

第一百三十二节 传说

第一百三十四节 失而复得的杠棒

第一百三十五节 消失的疍家小艇

第一百三十六节 山陕会馆

第一百三十七节 义庄

第一百三十۸节 谜团

第一百三十九节 倾销店

第一百四十节 袼褙

第一百四十一节 死者

第一百四十二节 失踪的王大鸟

第一百四十三节 销金看色

第一百四十四节 开小会

第一百四十五节 商人们的心思

第一百四十六节 生意上的大眼光

第一百四十七节 发行前夜

第一百四十八节 税务局长

第一百四十九节 工商业税种

第一百五十二节 跑马圈地

第一百五十三节 教育下一代

第一百五十四节 自圆其说

第一百五十五节 宣传工作

第一百五十六节 不想当秘书的张允幂

第一百六十节 方庙祝

第一百六十一节 应对之策

第一百六十二节 逼良为娼

第一百六十三节 软硬兼施

第一百六十四节 公务员招考

第一百六十五节 考试大纲

第一百六十六节 董家小铺

第一百六十七节 公考咨询

第一百六十八节 母女谈心

第一百六十九节 报案

第一百七十节 质问

第一百七十一节 步步为营

第一百七十五节 莫名的骚乱

第一百七十六节 现场勘察

第一百七十七节 专案

第一百七十八节 专案组

第一百八十节 闹鬼的衙门

第一百八十二节 装神弄鬼

第一百八十三节 装神弄鬼续

第一百八十四节 巫术

第一百八十五节 “惊”、“彩”、“尖”、“风”

第一百九十五节 下落

第一百九十六节 访春院

第一百九十七节 画舫

第一百九十八节 停业整顿

第一百九十九节 抓典型

第二百节 破门而入

二百零一节 波谲云诡

二百零二节 疑点

二百零三节 拷问

二百零四节 木石道人

二百零五节 新机会

二百零六节 兄弟情谊

二百零八节 茶居老板的忧虑

二百零九节 货币的信用

二百一十节 紫明楼的扩张之路

二百一十一节 先进工作者

二百一十二节 光宗耀祖

二百一十三节 翦除羽翼

二百一十四节 蛇踪

二百一十五节 深夜出击

二百一十六节 抓捕（一）

二百一十七节 抓捕（二）

二百一十八节 抓捕（三）

二百二十二节 拆招

二百二十三节 黄公子的

二百二十四节 宗子世兄

二百二十五节 对比强烈

二百二十六节 忙碌的刘市长

二百二十七节 润世堂旗舰店

二百二十八节 临高的文事

二百二十九节 唯生产力论

二百三十节 旅游动机

二百三十一节 于民生有益者

二百三十二节 说客

二百三十三节 不在点子上

二百三十四节 新来的法官

二百三十八节 除旧布新（一）

二百三十九节 除旧布新（二）

二百四十节 除旧布新（三）

二百四十一节 除旧布新（四）

二百四十二节 除旧布新（五）

二百四十三节 除旧布新（六）

二百四十四节 除旧布新（七）

二百四十五节 除旧布新（八）

二百四十六节 除旧布新（九）

二百四十七节 除旧布新（十）

二百四十八节 除旧布新（十一）

二百四十九节 除旧布新（十二）

二百五十节 除旧布新（十三）

二百五十一节 除旧布新（十四）

二百五十二节 除旧布新（十五）

二百五十三节 除旧布新（十六）

二百五十四节 除旧布新（十七）

二百五十五节 瘟疫战争（一）

二百五十六节 瘟疫战争（二）

二百五十七节 瘟疫战争（三）

二百五十八节 瘟疫战争（四）

二百五十九节 柳嫂子的话

二百六十节 被遗弃的尸体

二百六十一节 移风易俗的难处

二百六十二节 苦闷的林默天

二百六十三节 曲折中前进

二百六十四节 疫情升级

二百六十五节 瘟疫笼罩下的广州

二百六十六节 身体力行

二百六十七节 疫情反复

二百六十八节 新生

二百六十九节 瓜蔓抄

二百七十节 新得工作

二百七十一节 五仙观

二百七十二节 鲸吞

二百七十三节 公祭

二百七十四节 神道设教

二百七十五节 公审

二百七十六节 沈睿明的公诉书

二百七十七节 判决

二百七十九节 公审大会

二百八十节 公审续一

二百八十一节 公审续二

二百八十二节 公务员考试（一）

二百八十三节 公务员考试（二）

二百八十四节 公务员考试（三）

二百八十五节 公务员考试（四）

二百八十九节 公务员考试（八）

二百九十一节 公务员考试（十）

二百九十二节 放榜

二百九十三节 跌宕起伏

二百九十四节 面试（一）

二百九十五节 面试（二）

二百九十六节 报喜

二百九十七节 政审和体检

二百九十八节 髡发

二百九十九节 元老院的历史

三百节 神器

第三百零一节 机械计算机

三百零二节 修电脑的人

三百零三节 不是生活秘书

三百零四节 最初的探索

三百零五节 基本理论

三百零六节 立项

三百零七节 进入议事日程

三百零八节 卡片标准

三百零九节 打孔卡

三百一十节 徐老五

三百一十一节 数据中心的归化民

三百一十二节 朱秋景

三百一十三节 新时代的妇女干部

三百一十四节 数据公开

三百一十五节 两个元老

三百一十六节 打孔机

三百一十七节 房客

三百一十八节 继电器

三百一十九节 熬漆

三百二十节 李加奈的秘密

三百二十一节 助力

三百二十二节 原始的继电器

三百二十三节 第一次约会

三百二十四节 累加器

三百二十五节 卡片复制

三百二十六节 查错的数学理论

三百二十七节 高等数学

三百二十八节 43号店的约会

三百二十九节 少年

三百三十节 问题（一）

第三百三十一节 问题（二）

三百三十二节 分类机

三百三十三节 分类机的运用

三百三十四节 真或假

三百三十五节 瓜熟蒂落

三百三十六节 财税局局长

三百三十七节 间接税、直接税和包税

三百三十九节 副局长们

三百四十节 港库

三百四十一节 王副局长

三百四十一节 调整

三百四十三节 考试摸底

三百四十四节 税务机构

三百五十三节 开工大吉

三百五十四节 一号税单

三百五十五节 基本顺利的第一天

三百五十六节 近乎圆满的尾声

三百五十七节 杀账

三百五十八节 争钱夺利

三百五十九节 分钱方案

三百六十节 特种税

三百六十一节 财政的奥秘

三百六十二节 自行申报

三百六十三节 疑惑

三百六十四节 菜煎饼，两个皮的

三百六十五节 扩大生产

三百六十六节 兄弟聚首

三百六十七节 小团圆

三百六十八节 一张假币

三百六十九节 端倪

三百七十节 阴阳合同

三百七十一节 印花税案

三百七十二节 经济罪案调查局

三百七十三节 经济罪案调查处

三百七十四节 第一次小组会议

三百七十五节 忆苦思甜的小会

三百七十六节 风俗税

三百七十七节 澳洲人的新花样

三百七十八节 澳洲人的新花样续

三百七十九节 澳洲人的新花样再续

三百八十节 圈批

三百八十一节 梁府

三百八十二节 拜访

三百八十三节 服软

三百八十四节 黄平的三亚日记

三百八十五节 与时俱进的史公子

三百八十六节 归化民婚姻问题方案

三百八十七节 两个关心归化民婚姻问题的元老

三百八十八节 两个关心归化民婚姻问题的元老（二）

三百八十九节 两个关心归化民婚姻问题的元老（三）

三百九十节 济良所

三百九十一节 当众出丑

三百九十二节 选择的对象

三百九十三节 名单

三百九十四节 名单

三百九十五节 选择

三百九十六节 相亲会（一）

三百九十七节 相亲大会（一）

三百九十八节 相亲会（二）

三百九十九节 相亲会（三）

四百节 筹备婚礼

四百零一节 少花钱多办事

四百零二节 欢送新人

四百零三节 新生活的开始

四百零四节 请崔汉唐帮忙

四百零五节 随喜

四百零六节 随喜（二）

四百零七节 一亩三分地

四百零八节 黎遂球回城

四百零九节 髡贼之术

四百一十节 与百姓治天下

四百一十一节 寻找真髡

四百一十二节 牡丹状元一探五仙观

四百一十三节 崔黎对答

四百一十四节 大放厥词

四百一十五节 收效甚微

四百一十六节 崔道士论道

四百一十七节 显微镜

四百一十八节 集体婚礼（一）

四百一十九节 集体婚礼（二）

四百二十节 集体婚礼（三）

四百二十一节 锲而不舍

四百二十二节 集体婚礼（四）

四百二十三节 集体婚礼（五）

四百二十四节 集体婚礼（六）

四百二十五节 集体婚礼（七）

四百二十六节 集体婚礼（七）

四百二十七节 集体婚礼（八）

四百二十八节 跨越时空的演出

四百二十九节 杜宋之辩

四百三十节 约法三章

四百三十一节 人才史弥思

四百三十二节 借题发挥

四百三十三节 吃空饷的人

四百三十四节 太阳底下没有新鲜事

四百三十五节 重逢

四百三十六节 往事不堪回首

四百三十七节 新的线索

四百三十八节 赶紧行动

四百三十九节 突发事件

四百四十节 特殊的纪念品

四百四十一节 善后

四百四十二节 开始行动

四百四十三节 办公会

四百四十四节 土地税

